Date,Text,Normalized_Text_NLTK,Normalized_Text_Slang
10/2023,Point coffee gk mau buka di tulungagung kah? Ak kangen caramel macchiattonya :(,point coffee gk mau buka di tulungagung kah ak kangen caramel macchiattonya ,point coffee gk mau buka di tulungagung kah saya kangen caramel macchiattonya
10/2023,"Semoga ga ada alasan ""whip cream nya abis ka"" Kebiasaan bgt point coffee alesannya begitu kl lagi promo2",semoga ga ada alasan whip cream nya abis ka kebiasaan bgt point coffee alesannya begitu kl lagi promo,semoga tidak ada alasan whip cream nya habis kakak kebiasaan banget point coffee alesannya begitu kalau lagi promo
10/2023,Kzl baanget di kota aku blom ada indomart point coffee Mager bgt kalo harus ke luar kota dulu,kzl baanget di kota aku blom ada indomart point coffee mager bgt kalo harus ke luar kota dulu,kzl baanget di kota aku blom ada indomart point coffee mager banget kalau harus ke luar kota dulu
10/2023,point coffee knp jauh2 si dr tmpt w pdhl tiap senin selalu promo:(((,point coffee knp jauh si dr tmpt w pdhl tiap senin selalu promo,point coffee kenapa jauh si dr tempat w pdhl tiap senin selalu promo
10/2023,Kopi kenangan di sg ya nder?,kopi kenangan di sg ya nder,kopi kenangan di sg iya nder
10/2023,kopi kenangan singapura ya?,kopi kenangan singapura ya,kopi kenangan singapura iya
10/2023,point coffee emg dabest sii nder. kl di dkt kostan ad point coffe jg kekny gw akan sll beli point coffee,point coffee emg dabest sii nder kl di dkt kostan ad point coffe jg kekny gw akan sll beli point coffee,point coffee memang dabest sii nder kalau di dkt kostan ada point coffe juga kekny saya akan selalu beli point coffee
10/2023,"haha point coffee emang kopi lokal yg worth it, varian mereka yg non coffee jg enak2",haha point coffee emang kopi lokal yg worth it varian mereka yg non coffee jg enak,tertawa point coffee emang kopi lokal yang worth it varian mereka yang non coffee juga enak
10/2023,point coffee dom ku jauh,point coffee dom ku jauh,point coffee dom ku jauh
10/2023,Selain ini ingfo dong menu point coffee yang enak,selain ini ingfo dong menu point coffee yang enak,selain ini ingfo dong menu point coffee yang enak
10/2023,"Ih ini kayaknya enak banget, jadi pengen nyobain beli minuman di point coffee",ih ini kayaknya enak banget jadi pengen nyobain beli minuman di point coffee,ih ini kayaknya enak banget jadi pengen nyobain beli minuman di point coffee
10/2023,range harganya brp si fore?,range harganya brp si fore,range harganya berapa si fore
10/2023,iyakah enak? aku belum pernah beli point coffee.,iyakah enak aku belum pernah beli point coffee,iyakah enak aku belum pernah beli point coffee
10/2023,"Emang point coffee tu enak dan niat. Aku suka semua kopinya kecuali kopi baper n kopi saku yg menurutku tllu manis karna aku tim less sugar. Hampir tiap pagi aku selalu mampir buat beli kopinya sebelum ngantor. Enak, dan worth sm harganya.",emang point coffee tu enak dan niat aku suka semua kopinya kecuali kopi baper n kopi saku yg menurutku tllu manis karna aku tim less sugar hampir tiap pagi aku selalu mampir buat beli kopinya sebelum ngantor enak dan worth sm harganya,emang point coffee tu enak dan niat aku suka semua kopinya kecuali kopi baper dan kopi saku yang menurutku tllu manis karena aku tim kurang gula hampir tiap pagi aku selalu mampir buat beli kopinya sebelum ngantor enak dan worth sama harganya
10/2023,fore jauh dari tempat gua :( pgn cobaaa,fore jauh dari tempat gua  pgn cobaaa,fore jauh dari tempat saya ingin cobaaa
10/2023,BGSTYT DISINI GAADA POINT COFFEE,bgstyt disini gaada point coffee,bgstyt disini tidak ada uang point coffee
10/2023,"Belum pernah nyoba yang mocha point coffee, ntar coba ah",belum pernah nyoba yang mocha point coffee ntar coba ah,belum pernah nyoba yang mocha point coffee nanti coba ah
10/2023,kemaren abis promoan point coffee terus langsung gacoan lv8,kemaren abis promoan point coffee terus langsung gacoan lv,kemarin habis promoan point coffee terus langsung gacoan lv
11/2023,kopi tuku yg kopsus tetangga & tadi baru bgt cobain fore yg butterscotch & langsung masuk ke daftar my fav coffee!,kopi tuku yg kopsus tetangga  tadi baru bgt cobain fore yg butterscotch  langsung masuk ke daftar my fav coffee,kopi tuku yang kopsus tetangga tadi baru banget cobain fore yang butterscotch langsung masuk ke daftar my favorit coffee
11/2023,Sayaaa! Pandan latte fore pen w pacarin,sayaaa pandan latte fore pen w pacarin,sayaaa pandan latte fore pen w pacarin
11/2023,"bisaaa bgt di bandung rata rata fore buat wfc sii, kec bip",bisaaa bgt di bandung rata rata fore buat wfc sii kec bip,bisaaa banget di bandung rata rata fore buat wfc sii kecamatan bip
11/2023,Kalo kopi saset gw cm suka goodday freeze. Selebihnya beli kopi kenangan klo ga kopi point. Klo bikin melek si gbs pake kopi saset nder klo gw,kalo kopi saset gw cm suka goodday freeze selebihnya beli kopi kenangan klo ga kopi point klo bikin melek si gbs pake kopi saset nder klo gw,kalau kopi saset saya cm suka goodday freeze selebihnya beli kopi kenangan kalau tidak kopi point kalau bikin melek si tidak bisa pakai kopi saset nder kalau saya
11/2023,Kopi kenangan nder. Kopi sachet gk mempan klo udh terbiasa minum kopi sachet,kopi kenangan nder kopi sachet gk mempan klo udh terbiasa minum kopi sachet,kopi kenangan nder kopi sachet gk mempan kalau sudah terbiasa minum kopi sachet
11/2023,rame ga nder? biasanya point coffee selalu rame jd males kalo duduk,rame ga nder biasanya point coffee selalu rame jd males kalo duduk,ramai tidak nder biasanya point coffee selalu ramai jadi males kalau duduk
11/2023,Manuka oat latte dan tomoro oat latte enak bgt aku baru coba 3 menu sih,manuka oat latte dan tomoro oat latte enak bgt aku baru coba  menu sih,manuka oat latte dan tomoro oat latte enak banget aku baru coba menu sih
11/2023,Di bandung ada tomoro ga sih?,di bandung ada tomoro ga sih,di bandung ada tomoro tidak sih
11/2023,Choco croissant punya tomoro enaakkk on repeat klo beli kopi pasti beli choco croissantnya,choco croissant punya tomoro enaakkk on repeat klo beli kopi pasti beli choco croissantnya,choco croissant punya tomoro enaakkk on repeat kalau beli kopi pasti beli choco croissantnya
11/2023,"coconut aren latte 9/10 tomoro oat latte 8/10 iced chocolate 9/10 choc croissant 10000/10 apalagi pas masih anget kalo beli di store ada bundle 30k dapet 2 minuman, kalo di apps ada voc 9k / minuman dapet 7 voc alias semua orang harus cobain tomoro",coconut aren latte  tomoro oat latte  iced chocolate  choc croissant  apalagi pas masih anget kalo beli di store ada bundle k dapet  minuman kalo di apps ada voc k  minuman dapet  voc alias semua orang harus cobain tomoro,coconut aren latte tomoro oat latte iced chocolate choc croissant apalagi pas masih anget kalau beli di store ada bundle ke dapat minuman kalau di apps ada voc ke minuman dapat voc alias semua orang harus cobain tomoro
11/2023,manuka oat latte rasanya kek minuman minuman di fore anj,manuka oat latte rasanya kek minuman minuman di fore anj,manuka oat latte rasanya seperti minuman minuman di fore anj
11/2023,"matcha oat lattenya enakk, berasa bgt matchanya. tp kusaranin beli tomoro pake promo yg 9k aja nder, menurutku ga worth it kalo harga normal",matcha oat lattenya enakk berasa bgt matchanya tp kusaranin beli tomoro pake promo yg k aja nder menurutku ga worth it kalo harga normal,matcha oat lattenya enakk berasa banget matchanya tapi kusaranin beli tomoro pakai promo yang ke saja nder menurutku tidak worth it kalau harga normal
11/2023,"nescafe hrs di boycott, ttp kopi kenangan / kopiko yg rasa thailand itu enakkk",nescafe hrs di boycott ttp kopi kenangan  kopiko yg rasa thailand itu enakkk,nescafe harus di boycott ttp kopi kenangan kopiko yang rasa thailand itu enakkk
11/2023,Follow ig nya point' coffee aja nder,follow ig nya point coffee aja nder,follow ig nya point coffee saja nder
11/2023,ak mw donk abang2 point coffee @ryanhafizh_ hehehehehehehe,ak mw donk abang point coffee  hehehehehehehe,saya now watching donk abang point coffee hehehehehehehe
11/2023,Alhamdulillaah awal november 1. CO susu bebelac+SGM total 14pcs bayar 105k 2. Kopi Kenangan Mocha Latte jumbo bayar Rp10 potong poin jd gratis 3. 3x CO teguk masing2 dpt 10 item bayar 22k Masya Allah Tabarakallah Allah maha kaya Allah maha baik,alhamdulillaah awal november  co susu bebelacsgm total pcs bayar k  kopi kenangan mocha latte jumbo bayar rp potong poin jd gratis  x co teguk masing dpt  item bayar k masya allah tabarakallah allah maha kaya allah maha baik,alhamdulillaah awal november co susu bebelacsgm total pcs bayar ke kopi kenangan mocha latte jumbo bayar rp potong poin jadi gratis x co teguk masing dapat hitam bayar ke masya allah tabarakallah allah maha kaya allah maha baik
11/2023,"fore, tuku, flash, point",fore tuku flash point,fore tuku flash point
11/2023,"Pahit: Kopi Kenangan, sensasi pahitnya enak. Manis: Kopi Teori, tapi cuma ada di Makassar dan Singapura. Manis tapi takarannya pas dan gak enek. Kalau kata temanku, Tuku yang enak cuma yang di Cipete.",pahit kopi kenangan sensasi pahitnya enak manis kopi teori tapi cuma ada di makassar dan singapura manis tapi takarannya pas dan gak enek kalau kata temanku tuku yang enak cuma yang di cipete,pahit kopi kenangan sensasi pahitnya enak manis kopi teori tapi cuma ada di makassar dan singapura manis tapi takarannya pas dan gak enek kalau kata temanku tuku yang enak cuma yang di cipete
11/2023,"makmur, kawan kopi, ssstkopi, 372/gajua kopi, fore",makmur kawan kopi ssstkopi gajua kopi fore,makmur kawan kopi ssstkopi gajua kopi fore
11/2023,"Masih di kopi kenangan. Tuku kepaitan, janji jiwa kemanisan",masih di kopi kenangan tuku kepaitan janji jiwa kemanisan,masih di kopi kenangan tuku kepaitan janji jiwa kemanisan
11/2023,Fore masih menduduki juara pertama di lidahku,fore masih menduduki juara pertama di lidahku,fore masih menduduki juara pertama di lidahku
11/2023,"Aku suka yg cappucino. Enak kok, sebanding sama harga. Tapi jangan expect kopinya kek dari kopi sekelasnya kenangan/sbux/fore ya. Standard lah kopi biasa. Ropangnya enak, tp keknya tergantung yg masak deh. Aku suka bgt yg cokelat biasa sm noughat. Gilaaaa banyak bgt isinya",aku suka yg cappucino enak kok sebanding sama harga tapi jangan expect kopinya kek dari kopi sekelasnya kenangansbuxfore ya standard lah kopi biasa ropangnya enak tp keknya tergantung yg masak deh aku suka bgt yg cokelat biasa sm noughat gilaaaa banyak bgt isinya,aku suka yang cappucino enak kok sebanding sama harga tapi jangan expect kopinya seperti dari kopi sekelasnya kenangansbuxfore iya standard lah kopi biasa ropangnya enak tapi kayaknya tergantung yang masak deh aku suka banget yang cokelat biasa sama noughat gilaaaa banyak banget isinya
11/2023,Aku tim menyesuaikan kantong hihi 1. Fore (lg mental hambur22) 2. Tuku (lagi niat ngantri dan pengen kopi yg lebih strong) 3. Jago (butuh kopi tp juga butuh wang) Pict dr google ya (ga sempet foto),aku tim menyesuaikan kantong hihi  fore lg mental hambur  tuku lagi niat ngantri dan pengen kopi yg lebih strong  jago butuh kopi tp juga butuh wang pict dr google ya ga sempet foto,aku tim menyesuaikan kantong hihi fore lagi mental hambur tuku lagi niat mengantri dan pengen kopi yang lebih strong jago butuh kopi tapi juga butuh wang pict dr google iya tidak sempat foto
11/2023,Pandan latte nya fore udh beli yg seliter pun tetap kurang,pandan latte nya fore udh beli yg seliter pun tetap kurang,pandan latte nya fore sudah beli yang seliter pun tetap kurang
11/2023,"Kalo yang suka kopi,mending bersabar nungguin promo point coffee. Tapi Karna sesuai dengan harganya sih. Tapi semua balik ke selera masingÂ²",kalo yang suka kopimending bersabar nungguin promo point coffee tapi karna sesuai dengan harganya sih tapi semua balik ke selera masing,kalau yang suka kopimending bersabar nungguin promo point coffee tapi karena sesuai dengan harganya sih tapi semua balik ke selera masing
11/2023,Palm sugar latte nya point coffee tapi belinya pake tumbler sendiri,palm sugar latte nya point coffee tapi belinya pake tumbler sendiri,palm gula latte nya point coffee tapi belinya pakai tumbler sendiri
11/2023,Nih orang tomoro @forcuriousonly,nih orang tomoro ,ini orang tomoro
11/2023,Nder gua saranin ya sebagai BA gadungannya TOMORO beli yg Coconut aren latte FIX LARGE enak bat dah ama STRAWBERRY JASMINE TEA,nder gua saranin ya sebagai ba gadungannya tomoro beli yg coconut aren latte fix large enak bat dah ama strawberry jasmine tea,nder saya saranin iya sebagai ba gadungannya tomoro beli yang coconut aren latte fix large enak bat deh sama strawberry jasmine tea
11/2023,"Kalo cari aman biar aslam ga naik ato blm mkn nasi si enak nder. Kl cari â€œkopiâ€ jgn deh kayanya, mnding kopi kenangan beli di aplikasinya bnyak diskon wkwk",kalo cari aman biar aslam ga naik ato blm mkn nasi si enak nder kl cari kopi jgn deh kayanya mnding kopi kenangan beli di aplikasinya bnyak diskon wkwk,kalau cari aman biar aslam tidak naik atau belum mkn nasi si enak nder kalau cari kopi jangan deh kayaknya mnding kopi kenangan beli di aplikasinya bnyak diskon wkwk
11/2023,"Kopi kenangan bawa tumbler dari kopi kenangan, disc lumayan",kopi kenangan bawa tumbler dari kopi kenangan disc lumayan,kopi kenangan bawa tumbler dari kopi kenangan diskon lumayan
11/2023,lo berharap kek gmn? kek croissant fore gt?,lo berharap kek gmn kek croissant fore gt,kamu berharap seperti gmn seperti croissant fore begitu
11/2023,Oatside kopi kenangan,oatside kopi kenangan,oatside kopi kenangan
11/2023,Kopi kenangan mantan sama thai tea,kopi kenangan mantan sama thai tea,kopi kenangan mantan sama thai tea
11/2023,Hmmmm aku tim Palm Sugar Latte sama Kopi Saku kalo Point itu.. coffee ny double,hmmmm aku tim palm sugar latte sama kopi saku kalo point itu coffee ny double,hmmmm aku tim palm gula latte sama kopi saku kalau point itu coffee ny double
11/2023,Iyaa setuju matchanya Tomoro coffee emang seenak ituuu,iyaa setuju matchanya tomoro coffee emang seenak ituuu,iyaa setuju matchanya tomoro coffee emang seenak ituuu
11/2023,ga ada tomoro di sini,ga ada tomoro di sini,tidak ada tomoro di sini
11/2023,"Beli point coffee, sosis indomaret, onigirinya , dimsum beuh surga duniaaaa",beli point coffee sosis indomaret onigirinya  dimsum beuh surga duniaaaa,beli point coffee sosis indomaret onigirinya dimsum beuh surga duniaaaa
11/2023,my favo since 2019 sampe sedih akun fore ku yang lama gabisa di login,my favo since  sampe sedih akun fore ku yang lama gabisa di login,my favo since sampai sedih akun fore ku yang lama gabisa di login
11/2023,"B aja, di bilang enak banget ya gak dan di bilang gak enak jg gak. Tp soal tempat duduk dan suasana pw banget buat nongki di fore.",b aja di bilang enak banget ya gak dan di bilang gak enak jg gak tp soal tempat duduk dan suasana pw banget buat nongki di fore,b saja di bilang enak banget iya gak dan di bilang gak enak juga gak tapi soal tempat duduk dan suasana posisi nyaman banget buat nongki di fore
11/2023,"Ga pernah coba kopi lain selain sbux, janji jiwa itu jg yg coklat si bukan kopi. Pen coba fore keburu asem lambung sampe skrg dah ga pernah minum kopi 1th lebih",ga pernah coba kopi lain selain sbux janji jiwa itu jg yg coklat si bukan kopi pen coba fore keburu asem lambung sampe skrg dah ga pernah minum kopi th lebih,tidak pernah coba kopi lain selain starbucks janji jiwa itu juga yang coklat si bukan kopi pen coba fore terlanjur asam lambung sampai sekarang deh tidak pernah minum kopi th lebih
11/2023,Fore kalo yg coklat doang b ajaâ€¦ tp yg laen2 enak dan tmptnya cozy bgt bgt,fore kalo yg coklat doang b aja tp yg laen enak dan tmptnya cozy bgt bgt,fore kalau yang coklat doang b saja tapi yang laen enak dan tmptnya cozy banget banget
11/2023,Dark coklat fore juara sihh,dark coklat fore juara sihh,dark coklat fore juara sihh
11/2023,"https://x.com/anggahandika20/status/1480891034565447680?t=0MSJwnlM8HbATiJrIZnYVg&s=19â€¦ Suka bangeett, tp kayaknya menu yg pernah aku beli ini sudah ga ada yaa. Soalnya terakhir ke fore menunya aku cari-cari ga adaa huhu :(", suka bangeett tp kayaknya menu yg pernah aku beli ini sudah ga ada yaa soalnya terakhir ke fore menunya aku caricari ga adaa huhu ,suka bangeett tapi kayaknya menu yang pernah aku beli ini sudah tidak ada yaa soalnya terakhir ke fore menunya aku caricari tidak adaa huhu
11/2023,pengen nyobain fore tapi kok yang paling deket di solo,pengen nyobain fore tapi kok yang paling deket di solo,pengen nyobain fore tapi kok yang paling deket di solo
11/2023,Nderr gakuat itu aku kalo beli fore jd selalu beli non coffee. Dulu pernah nyoba beli terus + extra shot langsung kek org ngefly,nderr gakuat itu aku kalo beli fore jd selalu beli non coffee dulu pernah nyoba beli terus  extra shot langsung kek org ngefly,nderr gakuat itu aku kalau beli fore jadi selalu beli non coffee dulu pernah nyoba beli terus extra shot langsung seperti org ngefly
11/2023,"Berarti badannya ga kuat/ga cocok, soalnya gua kalau minum fore ga berasa apa-apa",berarti badannya ga kuatga cocok soalnya gua kalau minum fore ga berasa apaapa,berarti badannya tidak kuatga cocok soalnya saya kalau minum fore tidak berasa apaapa
11/2023,"aaaa samaaa :'( ku juga selalu begini, padahal suka bgt ice coffee. kemaren pas beli point juga kek gini, jadinya ku bagi minumnya buat 2 hari",aaaa samaaa  ku juga selalu begini padahal suka bgt ice coffee kemaren pas beli point juga kek gini jadinya ku bagi minumnya buat  hari,aaaa samaaa ku juga selalu begini padahal suka banget ice coffee kemarin pas beli point juga seperti gini jadinya ku bagi minumnya buat hari
11/2023,"awal awal minum fore, emang rada kaget sih karena kuat bgt kopinya dan cenderung asem (faktor tipe kopi yg dipake kayaknya).",awal awal minum fore emang rada kaget sih karena kuat bgt kopinya dan cenderung asem faktor tipe kopi yg dipake kayaknya,awal awal minum fore emang rada kaget sih karena kuat banget kopinya dan cenderung asam faktor tipe kopi yang dipake kayaknya
11/2023,kopi nya fore tu kerasa beda nder karena lebih berasa (di aku),kopi nya fore tu kerasa beda nder karena lebih berasa di aku,kopi nya fore tu kerasa beda nder karena lebih berasa di aku
11/2023,minta less coffee kakk aku kalo minum fore dibawah jam 4 sore jg ga bisa tdr sampe subuh tapi masih lanjut part kesekian wkwk jd kalo pengen jam 11 udah pesenâ€¦,minta less coffee kakk aku kalo minum fore dibawah jam  sore jg ga bisa tdr sampe subuh tapi masih lanjut part kesekian wkwk jd kalo pengen jam  udah pesen,minta kurang coffee kakk aku kalau minum fore dibawah jam sore juga tidak bisa tdr sampai subuh tapi masih lanjut part kesekian wkwk jadi kalau pengen jam sudah pesen
11/2023,"Aku klo minum fore jg gtuu gabisa tidurr, gelisah dan deg2an",aku klo minum fore jg gtuu gabisa tidurr gelisah dan degan,aku kalau minum fore juga gtuu gabisa tidurr gelisah dan degan
11/2023,"Nder.. aku minum matcha fore aja langsung malem nya begah, perih, dingin tubuh akuu",nder aku minum matcha fore aja langsung malem nya begah perih dingin tubuh akuu,nder aku minum matcha fore saja langsung malam nya begah perih dingin tubuh akuu
11/2023,"Kan, gue juga gitu nder. Gue kalo fore apapun menunya (gue kira cuma menu A aja) tp pas coba yg lain, beneran tremor dan gabisa tidur juga. Dan udah lama bgt gaperna beli lagi",kan gue juga gitu nder gue kalo fore apapun menunya gue kira cuma menu a aja tp pas coba yg lain beneran tremor dan gabisa tidur juga dan udah lama bgt gaperna beli lagi,kan aku juga gitu nder aku kalau fore apapun menunya aku kira cuma menu a saja tapi pas coba yang lain beneran tremor dan gabisa tidur juga dan sudah lama banget gaperna beli lagi
11/2023,Mba coba pesen minta decaf aku di ajarin pacar aku klo ga kuat caffein tapi masih pengen minum kopi minta decaf aja cuma aku ga tau fore ada decaf atau ga soalnya lebih sering ke sbux dan sbux ada pilihan buat decaf,mba coba pesen minta decaf aku di ajarin pacar aku klo ga kuat caffein tapi masih pengen minum kopi minta decaf aja cuma aku ga tau fore ada decaf atau ga soalnya lebih sering ke sbux dan sbux ada pilihan buat decaf,mbak coba pesen minta decaf aku di ajarin pacar aku kalau tidak kuat caffein tapi masih pengen minum kopi minta decaf saja cuma aku tidak tahu fore ada decaf atau tidak soalnya lebih sering ke starbucks dan starbucks ada pilihan buat decaf
11/2023,"samaaa, wkt pertama beli yg large lagi, abistu deg deg an gelisah gitu. sampe skrng blm pernah beli fore lagi :'",samaaa wkt pertama beli yg large lagi abistu deg deg an gelisah gitu sampe skrng blm pernah beli fore lagi ,samaaa waktu pertama beli yang large lagi abistu deg deg an gelisah gitu sampai skrng belum pernah beli fore lagi
11/2023,"fore emang kenceng sih, aku coba beberapa kopi dan menurut aku fore ini cukup bikin lambung aku menjerit",fore emang kenceng sih aku coba beberapa kopi dan menurut aku fore ini cukup bikin lambung aku menjerit,fore emang kenceng sih aku coba beberapa kopi dan menurut aku fore ini cukup bikin lambung aku menjerit
11/2023,"Biasa ngopi, tapi klo fore sm jj nyerah",biasa ngopi tapi klo fore sm jj nyerah,biasa ngopi tapi kalau fore sama jj nyerah
11/2023,"aku ga kenapa napa nder sama semua varian kopinya fore, mungkin badanmu yg gakuat..",aku ga kenapa napa nder sama semua varian kopinya fore mungkin badanmu yg gakuat,aku tidak kenapa kenapa nder sama semua varian kopinya fore mungkin badanmu yang gakuat
11/2023,Mau masuk tomoro deh,mau masuk tomoro deh,mau masuk tomoro deh
11/2023,"Kopi nya fore emang kuat banget, tapi ajaibnya rasa kopinya gak terlalu berasa, pernah juga dibuat begadang sampai jam 2 dan bangun jam 5 gak ngantuk lagi.",kopi nya fore emang kuat banget tapi ajaibnya rasa kopinya gak terlalu berasa pernah juga dibuat begadang sampai jam  dan bangun jam  gak ngantuk lagi,kopi nya fore emang kuat banget tapi ajaibnya rasa kopinya gak terlalu berasa pernah juga dibuat begadang sampai jam dan bangun jam gak ngantuk lagi
11/2023,Padahal baru mau cobain fore janjiw juga giniii akuuu nderr,padahal baru mau cobain fore janjiw juga giniii akuuu nderr,padahal baru mau cobain fore janjiw juga giniii akuuu nderr
11/2023,"Kopi fore emg kuat nderr, apalagi itu kamu beli yg size gede udah tuuu... Badan gue juga ga kuat ama fore, tp dia enak bgt jd sebelum ngopi biasanya makan yg cukup dulu dan emg dalam kondisi mau/gpp begadang wkwkw",kopi fore emg kuat nderr apalagi itu kamu beli yg size gede udah tuuu badan gue juga ga kuat ama fore tp dia enak bgt jd sebelum ngopi biasanya makan yg cukup dulu dan emg dalam kondisi maugpp begadang wkwkw,kopi fore memang kuat nderr apalagi itu kamu beli yang size gede sudah tuuu badan aku juga tidak kuat sama fore tapi dia enak banget jadi sebelum ngopi biasanya makan yang cukup dulu dan memang dalam kondisi maugpp begadang wkwkw
11/2023,"orang2 bilang bean fore terlalu kuat,gue punya aslam tapi minum fore biasa aja",orang bilang bean fore terlalu kuatgue punya aslam tapi minum fore biasa aja,orang bilang bean fore terlalu kuatgue punya aslam tapi minum fore biasa saja
11/2023,Aku kalo fore ga pernah yg coffee nder soalnya pernah nyoba emang langsung tremor gakuat,aku kalo fore ga pernah yg coffee nder soalnya pernah nyoba emang langsung tremor gakuat,aku kalau fore tidak pernah yang coffee nder soalnya pernah nyoba emang langsung tremor gakuat
11/2023,"Kebalikannya, buat aku fore jadi satusatunya kopi yang ga bikin degdegan sama sekali",kebalikannya buat aku fore jadi satusatunya kopi yang ga bikin degdegan sama sekali,kebalikannya buat aku fore jadi satusatunya kopi yang tidak bikin degdegan sama sekali
11/2023,Fore coffee emang bikin tremor dan melek,fore coffee emang bikin tremor dan melek,fore coffee emang bikin tremor dan melek
11/2023,"fore masih aman aja, aku sore minum kopken sambil nugas, malemnya degdegan bgt keganggu jd gabisa tidur",fore masih aman aja aku sore minum kopken sambil nugas malemnya degdegan bgt keganggu jd gabisa tidur,fore masih aman saja aku sore minum kopi kenangan sambil nugas malemnya degdegan banget keganggu jadi gabisa tidur
11/2023,hua samaaaa suka fore tp suka gakuat after minumnya gemeteran,hua samaaaa suka fore tp suka gakuat after minumnya gemeteran,hua samaaaa suka fore tapi suka gakuat after minumnya gemeteran
11/2023,"fore emang biji kopinya kenceng deh soalnya gue selalu pesen americano di setiap tempat coffee shop dan kalo pesen americanonya fore emang ga bisa tidurrr wkwkw, yg ga terlalu kenceng coba ke kopkenn",fore emang biji kopinya kenceng deh soalnya gue selalu pesen americano di setiap tempat coffee shop dan kalo pesen americanonya fore emang ga bisa tidurrr wkwkw yg ga terlalu kenceng coba ke kopkenn,fore emang biji kopinya kenceng deh soalnya aku selalu pesen americano di setiap tempat coffee shop dan kalau pesen americanonya fore emang tidak bisa tidurrr wkwkw yang tidak terlalu kenceng coba ke kopkenn
11/2023,fore emang kayanya strong deh kopinya mirip2 janjiw,fore emang kayanya strong deh kopinya mirip janjiw,fore emang kayaknya strong deh kopinya mirip janjiw
11/2023,"aku punya aslam yg lumayan parah tp minum fore yg series ini amann2 aja nder soalnya makan berat duluu, ga dalam keadaan perut kosong jd amann",aku punya aslam yg lumayan parah tp minum fore yg series ini amann aja nder soalnya makan berat duluu ga dalam keadaan perut kosong jd amann,aku punya aslam yang lumayan parah tapi minum fore yang series ini amann saja nder soalnya makan berat duluu tidak dalam keadaan perut kosong jadi amann
11/2023,"Loh menurut gua fore tuh kopinya malah ga berasaa, lebih berasa kopken",loh menurut gua fore tuh kopinya malah ga berasaa lebih berasa kopken,loh menurut saya fore tuh kopinya bahkan tidak berasaa lebih berasa kopi kenangan
11/2023,Fore emg kopinya sterong,fore emg kopinya sterong,fore memang kopinya sterong
11/2023,"Sestrong itu ya? Aku ga pernah beli fore, blm pernah coba",sestrong itu ya aku ga pernah beli fore blm pernah coba,sestrong itu iya aku tidak pernah beli fore belum pernah coba
11/2023,"hah berarti toleransi kafein kamu rendah nderr, aku gatau fore termasuk ke yang kenceng ternyata â€¦ kamu udah makan belum pas minum itu?",hah berarti toleransi kafein kamu rendah nderr aku gatau fore termasuk ke yang kenceng ternyata  kamu udah makan belum pas minum itu,hah berarti toleransi kafein kamu rendah nderr aku gatau fore termasuk ke yang kenceng ternyata kamu sudah makan belum pas minum itu
11/2023,"Emanggg, gue udah lama gak beli fore krn bikin susah tidur",emanggg gue udah lama gak beli fore krn bikin susah tidur,emanggg aku sudah lama gak beli fore karena bikin susah tidur
11/2023,"di aku alhamdulillah gpp nder, prnh americano mnum sore jga ttep tidur tepat waktu. mngkin kmu belom trlalu kuat kafein di kopi nya fore nder",di aku alhamdulillah gpp nder prnh americano mnum sore jga ttep tidur tepat waktu mngkin kmu belom trlalu kuat kafein di kopi nya fore nder,di aku alhamdulillah tidak apa-apa nder pernah americano mnum sore juga ttep tidur tepat waktu mngkin kmu belum terlalu kuat kafein di kopi nya fore nder
11/2023,pendapatmu gimana nih sebagai pecinta fore @ayymaqdis,pendapatmu gimana nih sebagai pecinta fore ,pendapatmu bagaimana ini sebagai pecinta fore
11/2023,Fore di aku ga strong malah beda sama americano bucks langsung melek seharian,fore di aku ga strong malah beda sama americano bucks langsung melek seharian,fore di aku tidak strong bahkan beda sama americano bucks langsung melek seharian
11/2023,ini malah kesukaanku nder kalo ke fore belinya ini mulu,ini malah kesukaanku nder kalo ke fore belinya ini mulu,ini bahkan kesukaanku nder kalau ke fore belinya ini melulu
11/2023,Kok aku beli fore gpp ya? Malah kalo poin coffee gak kuat di lambung.,kok aku beli fore gpp ya malah kalo poin coffee gak kuat di lambung,kok aku beli fore tidak apa-apa iya bahkan kalau poin coffee gak kuat di lambung
11/2023,"kopi fore emang strong nderr, aku pernah enggak tidur smape 2 harian",kopi fore emang strong nderr aku pernah enggak tidur smape  harian,kopi fore emang strong nderr aku pernah tidak tidur smape harian
11/2023,"Fore emg lumayan strong nder, dlu waktu awal cvd tuh sering bgt dpet gratisan/harga cmn 5rban pdhal beli yg kopi pandan tp lsg kek gt efeknya",fore emg lumayan strong nder dlu waktu awal cvd tuh sering bgt dpet gratisanharga cmn rban pdhal beli yg kopi pandan tp lsg kek gt efeknya,fore memang lumayan strong nder dulu waktu awal cvd tuh sering banget dpet gratisanharga cmn rban pdhal beli yang kopi pandan tapi lsg seperti begitu efeknya
11/2023,fore emang mayan strong gasi:( tapi enak:(,fore emang mayan strong gasi tapi enak,fore emang mayan strong gasi tapi enak
11/2023,Saran menu tomoro coffee yang harus di coba dong gaes,saran menu tomoro coffee yang harus di coba dong gaes,saran menu tomoro coffee yang harus di coba dong gaes
