Date,Text,Normalized_Text_NLTK,Normalized_Text_Slang
07/2023,Aku senengnya point coffee aja enak nder mana murah lg,aku senengnya point coffee aja enak nder mana murah lg,aku senengnya point coffee saja enak nder mana murah lagi
07/2023,"Gatau, gua juga heran punya temen tiap hari minum point kopi dan kopi kenangan. Beneran tiap malam",gatau gua juga heran punya temen tiap hari minum point kopi dan kopi kenangan beneran tiap malam,gatau saya juga heran punya teman tiap hari minum point kopi dan kopi kenangan beneran tiap malam
07/2023,"sbux si, punya fore jg enak",sbux si punya fore jg enak,starbucks si punya fore juga enak
07/2023,"Kekopian di point coffee Indoapril selain enak, juga cukup strong.",kekopian di point coffee indoapril selain enak juga cukup strong,kekopian di point coffee indoapril selain enak juga cukup strong
07/2023,"Sbux, point coffee menurutku kurang",sbux point coffee menurutku kurang,starbucks point coffee menurutku kurang
07/2023,Point coffee mayan enak matcha nya,point coffee mayan enak matcha nya,point coffee mayan enak matcha nya
07/2023,Punyanya Tomoro enak nder,punyanya tomoro enak nder,punyanya tomoro enak nder
07/2023,Aku suka tomoro,aku suka tomoro,aku suka tomoro
07/2023,"point coffee, kebetulan senin besok promonya yg matcha",point coffee kebetulan senin besok promonya yg matcha,point coffee kebetulan senin besok promonya yang matcha
07/2023,"ini yang aku tau kalo daerah jkt - kopi konnichiwa - tomoro coffee - matcha bae - feel matcha kalo beneran mau minum matcha, bukan matcha yang dominan susu",ini yang aku tau kalo daerah jkt  kopi konnichiwa  tomoro coffee  matcha bae  feel matcha kalo beneran mau minum matcha bukan matcha yang dominan susu,ini yang aku tahu kalau daerah jakarta kopi konnichiwa tomoro coffee matcha bae feel matcha kalau beneran mau minum matcha bukan matcha yang dominan susu
07/2023,"Aku pengen banget ke point coffee, tapi gak lewat situ mulu",aku pengen banget ke point coffee tapi gak lewat situ mulu,aku pengen banget ke point coffee tapi gak lewat situ melulu
07/2023,"Hah serius promoan hari ini? Baru jg ngejar promo tomoro, jd bingung",hah serius promoan hari ini baru jg ngejar promo tomoro jd bingung,hah serius promoan hari ini baru juga ngejar promo tomoro jadi bingung
07/2023,Point coffee klo lgi pngn kopi biasanya aku campur kaya ginii,point coffee klo lgi pngn kopi biasanya aku campur kaya ginii,point coffee kalau lagi pngn kopi biasanya aku campur kaya begini
07/2023,Kalo point coffee varian frappe mending no sugar aja nder karena emang semanis itu manisnya bs didapet dr whip cream dan syrup nya.,kalo point coffee varian frappe mending no sugar aja nder karena emang semanis itu manisnya bs didapet dr whip cream dan syrup nya,kalau point coffee varian frappe lebih baik no gula saja nder karena emang semanis itu manisnya bisa didapet dr whip cream dan syrup nya
07/2023,Info kalideres IDM Point Coffee ada ga siii?,info kalideres idm point coffee ada ga siii,informasi kalideres idm point coffee ada tidak siii
07/2023,pengennn tapi disini gada point coffee,pengennn tapi disini gada point coffee,pengennn tapi disini gada point coffee
07/2023,Lu beli matcha point coffee nder skrng mumpung lg disc,lu beli matcha point coffee nder skrng mumpung lg disc,kamu beli matcha point coffee nder skrng selagi lagi diskon
07/2023,Kopi kenangan skrg jual sprite kah?,kopi kenangan skrg jual sprite kah,kopi kenangan sekarang jual sprite kah
07/2023,aku tipikal klo ke coffe shop cari yang pelayanan nya ramah sejauh ini starbucks sm fore paling best best,aku tipikal klo ke coffe shop cari yang pelayanan nya ramah sejauh ini starbucks sm fore paling best best,aku tipikal kalau ke coffe shop cari yang pelayanan nya ramah sejauh ini starbucks sama fore paling best best
